Name	Label	Definitional reference	Definition
analysis_process	Analysis process	NCIT:C25391	Any act of analysis, broadly construed, of a subject. To include identification, observation, etc.
anatomical_entity	Anatomical entity	UBERON:0001062	A part of a structural body pattern consistently observed across a class of organisms. For example cell, nucleus, cytoplasm, membrane, stroma, epithelium, liver.
antibody	Antibody		A molecule or other chemical species exhibiting reactivity with a specific target antigen. Especially when the antigen presence is temporally prior or naturally occurring, and the antibody presence is naturally-induced (as in an immune response) or is deliberately introduced (as in histological staining).
assay_result	Assay result	OBI:0001909	The empirical claim about a subject supported by an assay analyzing that subject. When the assay type is binary (present or not present), the assay result is just assertion or non-assertion of the claim corresponding to the assay type (for example, an assay for the presence of a specific disease). In this case a common convention for the values is 'positive' or 'negative'.
assay	Assay	OBI:0000070	A planned process with the objective to produce information about the material entity that is the evaluant, by physically examining it or its proxies.
biological_marking_system	Biological marking system	OBI:0003146	An ensemble consisting of an antibody and its target antigen, intended to be used to elicit a specific observable reaction which indicates (marks) antigen presence, often in tissue specimens but also in individual cells or other biospecimens. Developed or selected for use in a given study.
biological_species	Biological species		A collection of organisms whose members are related by a sequence of tokogenies (ancestry/descent), and for which the collection is maximal subject to the constraint it that does not span any speciation boundaries, i.e. temporal boundaries formed by allopatric, parapatric, or sympatric speciation events (Wheeler and Meier, 'Species Concepts and Phylogenetic Theory'). For example, Homo sapiens (humans), or Mus musculus (mice).
biospecimen	Biospecimen	OBI:0100051	A portion (or, more rarely, the whole) of an organism prepared to be an object of study, observation, measurement, or analysis.
biospecimen_collection_process	Biospecimen collection process	OBI:0000659	A process in which a biospecimen is retrieved from its natural environment or host and placed under control for observation and analysis. Typically the process consists of extraction of a subspecimen from a whole organism, or from another subspecimen, at a specific site, preservation using a specific protocol, and storage together with similar specimens collected as part of a study.
biospecimen_collection_study	Biospecimen collection study	OBI:0000471	An effort, generally undertaken by a group of collaborating participants, to collect biospecimens of a particular type for the purpose of eventual observation/measurement and analysis. Typically initiated and concluded at specific times, but may be ongoing.
biospecimen_data_measurement_process	Biospecimen data measurement process	OBI:0000070	A process in which a biospecimen is subject to measurement of some qualitative or quantitative feature, usually by means of some measurement apparatus, resulting in a data item or data items about the biospecimen.
biospecimen_data_measurement_study	Biospecimen data measurement study	OBI:0000471	An effort, generally undertaken by a group of collaborating participants, to make data measurements on a collection of biological specimens. Typically initiated and concluded at specific times, provided that the specimen collection study is complete.
